a	art. 一（个）；每一（个）
singular	adj. 单数的； 非凡的， 奇特的； 独一无二的
sink	n. （厨房内的）洗涤槽
sip	v. 小口地喝，抿，呷 n. 小口喝， 一小口的量
siren	n. 汽笛，警报器
site	n. 地点，场所 vt. 使坐落在； 设置
situated	adj. 位于…的， 坐落在…的； 处于…境地的
situation	n. （建筑物等的）位置
skeleton	n. 骨骼； 框架， 骨干； 梗概， 提要
skeptical	adj. 表示怀疑的
sketch	v. 绘…的略图， 画…的素描； 概述 n. 略图；梗概；素描，速写
skilled	adj. 有技能的； 熟练的； 需要技能的
skillful	adj. 灵巧的， 娴熟的
skim	v. 撇去， 掠过， 擦过； 浏览， 略读
skip	vi. 跳，蹦跳；跳绳 vt. 跳过，略过，漏过 n. 跳， 蹦跳
skull	n. 颅骨， 脑壳
skyrocket	v. 突升，猛涨
skyscraper	n. 摩天大楼
slack	vi. 懈怠， 懒散 adj. 懈怠的，马虎的；萧条的，清淡的，不活跃的；松的 n. 松弛部分；宽松裤
slam	v. 砰地关上；猛力拉，砰地放下；猛烈抨击 n. 砰的一声
slander	n. 诽谤，诋毁 v. 诽谤，诋毁
slang	n. 俚语；行话，黑话
slap	vt. 掴，掌击，拍；啪的一声放 n. 掴， 掌击， 拍
slash	vt. 砍；大幅度削减 n. 砍， 砍痕； 斜线号
slaughter	v. 屠杀；屠宰 n. 屠杀；屠宰
slave	v. 作苦工；奴役
slavery	n. 奴隶制度
sleeve	n. 袖子， 袖套
slender	adj. 细长的， 苗条的； 微薄的， 不足的
slice	n. 薄片，切片，部分 vt. 切， 削， 剁
slick	adj. 圆滑的， 口齿伶俐的； 精巧的， 巧妙的， 灵巧的； 光滑的， 滑溜的
slide	v. 滑；悄悄地移动 n. 滑动； 滑道， 滑面； 幻灯片
slight	adj. 轻微的，微小的 v. 侮慢；轻视，冷落
slightly	adv. 轻微地
slim	adj. 苗条的；薄的；少的 v. 减轻体重， 变苗条
slip	v. 滑跤，滑落，溜；下降，跌落；悄悄放进 n. 疏漏， 差错
slippery	adj. 滑的；模糊的，不明确的，
slit	v. 切开 n. 狭长的切口
slogan	n. 标语， 口号； 广告语
slope	v. 倾斜 n. 倾斜，斜面
slot	n. 狭缝，狭槽；位置，空位 vt. 把…放入狭长开口中； 把…纳入其中， 使有位置
slum	n. 贫民窟
slumber	n. 睡眠；沉睡状态
slump	vi. 大幅度下降，暴跌；突然倒下 n. 萧条期， 低潮
smart	adj. 聪颖的，机灵的
smash	vi. 猛撞，猛冲 vt. 使粉碎，使打烂；狠打，猛击；使破灭，使失败 n. 破碎； 猛击， 猛撞； 轰动的演出， 巨大的成功
smooth	adj. 光滑的
smuggle	vt. 走私， 非法私运； 偷运， 偷带
snack	n. 快餐， 小吃， 点心
snail	n. 蜗牛；行动缓慢的人
snap	v. 咔嚓折断，啪地绷断；吧嗒一声；猛咬；厉声说话，怒声责骂 adj. 仓促的， 突然的 n. 吧嗒声；快照
snatch	vi. 一把抓住 vt. 夺，夺走，抢走；一下子拉，一把抓住；抓住机会做，抽空做 n. 片断
sneak	vi. 偷偷地走，溜 vt. 偷偷地做
sneer	v. 冷笑；嘲笑 n. 冷笑；嘲笑
sneeze	v. 打喷嚏
sniff	v. 以鼻吸气，用力吸入；嗅，闻 n. 吸气； 嗅， 闻
snob	n. 势利小人
snobbish	adj. 势利的，谄上欺下的
snore	v. 打鼾，打呼噜
so-called	adj. 所谓的， 号称的
soak	v. 浸， 泡
soar	vi. 猛增， 剧增； 高飞， 升腾； 高涨； 高耸， 屹立
sober	adj. 未醉的，有节制的；严肃的，持重的；素淡的，暗淡的 v. 醒酒， 清醒
social	adj. 社会的； 交际的， 社交的
socialism	n. 社会主义
socialist	n. 社会主义者
socialize	v. 交往，联谊
sociology	n. 社会学
soda	n. 碳酸钠， 纯碱； 汽水， 苏打水
sodium	n. 钠
sofa	n. 长沙发，沙发
soften	v. 使软化，变温和
softness	n. 温和，柔和；软弱
software	n. （计算机的）软件
soil	v. 弄脏
solar	adj. 太阳的， 日光的； 太阳能的
sole	adj. 单独的， 唯一的 n. 脚底，鞋底，袜底
solely	adv. 单独地，唯一地
solemn	adj. 严肃的，庄重的；庄严的；隆重的
solicitor	n. 初级律师， 事务律师
solid	adj. 固体的 n. 固体
solidarity	n. 团结；休戚相关
solidify	v. 凝固
solitary	adj. 单独的， 独自的； 单个的， 唯一的； 孤独的， 隐居的
solo	adv. 以独力，单独地 adj. 单独的，单独进行的 n. 独奏， 独唱， 独舞
soluble	adj. 可溶的； 可解决的
solution	n. 解决； 解决办法； 溶液
solve	vt. 解答； 解释； 解决
somebody	pron. 某人，有人
somehow	adv. 由于某种原因， 不知怎么的； 以某种方式
sometime	adv. 在某一时候；从前
somewhat	adv. 有点儿 pron. 一点儿
soothe	v. 安慰，减轻
sophisticated	adj. 老于世故的； 高级的； 精密的， 复杂的； 高雅的
sore	adj. 痛的；恼火的；急剧的，剧烈的 n. 疮， 痛处
sorrow	n. 悲痛， 悲哀， 悲伤； 伤心事， 不幸的事
sorrowful	adj. 使人伤心的；悲伤的
sort	n. 种类；类别 v. 整理
sound	adj. 健康的；完好的
sour	adj. 酸的；馊的，酸味的；脾气坏的 v. 变酸， 变馊； 变得乖戾
source	n. 河的源头， 根源； 来源， 出处
southwards	adv. 向南方
souvenir	n. 纪念品
sovereign	adj. 拥有最高统治权的， 至高无上的； 具有独立主权的 n. 君主，元首
sow	v. 播， 播种
soy	n. 大豆，黄豆；酱油
spacecraft	n. 航天器， 宇宙飞船
spacious	adj. 宽广的， 宽敞的
spade	n. 铲， 铁锹
span	n. 跨距，一段时间 vt. 持续， 贯穿， 包括； 横跨， 跨越
spare	v. 抽出；拨出；留出；匀出 adj. 多余的
spark	vi. 发出火花 n. 火花，火星
sparkle	vi. 发光，闪耀，闪烁；活跃，焕发 n. 闪光， 闪耀， 闪烁； 活力， 生气
spatial	adj. 空间的，占据空间的
specialist	n. 专家
specialize	vi. 专攻，专门研究 vt. 使适应特殊目的， 使专用于
specialty	n. 特产， 名产， 特色菜； 专业， 专长
species	n. 种，物种；种类
specific	adj. 特有的；明确的；具体的 n. 详情， 细节
specifically	adv. 特别地， 特定地； 明确地， 具体地
specification	n. 规格， 规范； 明确说明； 说明书
specify	vt. 指定； 详细说明
specimen	n. 样本， 标本， 样品
spectacle	n. 演出， 场面； 景象， 壮观； 眼镜
spectacular	adj. 壮观的，引人注目的 n. 壮观的演出； 惊人之举
spectator	n. 观众， 旁观者
spectrum	n. 谱， 光谱， 频谱； 范围， 幅度， 系列
speculate	v. 推测， 推断； 投机， 做投机买卖
spelling	n. 拼字， 拼法， 拼写法
sphere	n. 球， 球体； 范围
spherical	adj. 球形的，球面的
spice	n. 香料，调味品；趣味，情趣，风味 vt. 使增添趣味； 加香料于
spider	n. 蜘蛛
spill	v. 溢出，洒落 n. 溢出
spin	v. 旋转；晕眩；纺，织；绞干，甩干 n. 旋转， 自转
spine	n. 脊柱， 脊椎； 刺， 刺毛； 书脊
spiral	vi. 盘旋上升； 不断急剧地上升 adj. 螺旋的 n. 螺旋，螺旋式的上升
spiritual	adj. 精神的， 心灵的； 宗教的
spit	v. 吐唾沫，吐出 n. 唾沫， 唾液
spite	3、释义:n. 不顾；恶意，怨恨 v. 刁难，欺侮
splash	v. 溅，泼 n. 溅泼声； 溅出的水； 斑点
splendid	adj. 壮丽的； 极好的
split	v. 分裂，分离；被撕裂，裂开；分担，分享 n. 裂口
spoil	vi. 变质 vt. 损坏，糟蹋；宠坏，溺爱 n. 战利品， 掠夺物
spokesman	n. 发言人，代言人
sponge	v. 用湿海绵擦， 揩； 过寄生生活 n. 海绵
sponsor	n. 发起者 vt. 发起； 资助， 赞助； 支持
spontaneous	adj. 自发的， 无意识的； 自然的， 天真率直的
sportsman	n. 运动员
spot	n. 点，斑点；地点，处所；少量 vt. 认出， 发现； 玷污
spouse	n. 配偶
spray	v. 喷， 溅散 n. 浪花，水花；喷雾
spread	v. 传播，扩散
spring	v. 跳，跃 n. 泉；跳跃
sprinkle	v. 撒，洒 n. 少量， 少数
spur	n. 刺激物 vt. 刺激， 鞭策， 激励
spy	vi. 当间谍；暗中监视 n. 间谍 vt. 看见， 发现
squad	n. 班， 小队， 小组
squalor	n. 肮脏
square	n. 正方形；广场
squash	v. 压碎 n. 果汁饮料
squat	v. （使）蹲下
squeeze	v. 挤；压榨，榨取；捏，握 n. 挤； 握手； 拮据， 紧缺
stab	n&v. 刺， 戳
stability	n. 稳定， 稳固
stabilize	v. 使稳固，使安定
stable	adj. 稳定的，不变的；沉稳的，持重的 n. 厩， 马厩， 牛棚
stack	n. 堆，垛 vt. 堆积， 堆放于
stadium	n. 运动场， 体育场
staff	n. 工作人员；参谋 vt. 为…配备人员
stage	n. 阶段；舞台
stagger	vi. 摇晃，蹒跚 vt. 使吃惊；使错开，使交错 n. 蹒跚， 踉跄
stain	vt. 玷污；给…着色 n. 污点， 污迹
stainless	adj. 不锈的；纯洁的
stair	n. 楼梯
staircase	n. 楼梯
stairway	n. 楼梯
stake	n. 桩；利害关系；股份；赌金，赌注 vt. 以…打赌， 拿…冒险
stale	adj. 不新鲜的； 陈腐的， 过时的
stalk	vi. 高视阔步地走 n. 茎，梗，柄 vt. 悄悄地跟踪
stall	v. 熄火； 拖延， 推迟 n. 货摊；
stammer	v. 口吃地说 n. 口吃
standardize	v. 使与标准比较
standpoint	n. 立场， 观点
staple	adj. 主要的； 经常需要的 n. 订书钉，U形钉；主食；主要产品 vt. 用订书钉订
stare	n&vi. 盯， 凝视
start	v. 开动，着手；开设
startle	vt. 使惊吓， 使吃惊
startup	n. 启动，开办
starve	v. 挨饿， 饿死
statement	n. 陈述， 声明； 结算单， 报表
statesman	n. 国务活动家， 政治家
static	adj. 静的，静态的；静止的，停滞的 n. 静电
stationary	adj. 固定的， 静止不动的
stationery	n. 信笺，信纸；文具
statistic	n. 统计数值， 统计资料； 统计学
statistical	adj. 统计的，统计学的
statistics	n. 统计学； 统计表
statue	n. 塑像， 雕像， 铸像
status	n. 地位， 身份； 情形， 状况
steady	vi. 稳定 adj. 稳的，平稳的；稳定的，持续的；稳固的
steak	n. 大块牛肉；牛排
steal	v. 偷偷地做，窃取
steam	n. 蒸汽 v. 蒸发；蒸
steamer	n. 轮船， 汽船
steel	n. 钢，钢铁
steep	adj. 险峻的， 陡峭的； 过高的； 急剧的
steer	v. 掌舵， 驾驶； 操纵
stem	vi. 起源 n. 茎，干；词干 vt. 堵住， 止住， 停住
stereo	adj. 立体的；立体声的 n. 立体声
stereotype	n. 陈规，老套，固定的模式；铅版 vt. 把…浇铸成铅版； 对…形成固定看法
stern	adj. 严厉的，严格的，严峻的 n. 船尾
stew	v. 炖 n. 炖菜
sticky	adj. 黏性的， 胶粘的； 湿热的
stiff	adv. 极其， 非常； 僵硬地 adj. 硬的，僵直的；不灵活的；拘谨的，生硬的；费劲的；强烈的
stiffness	n. 硬度
stillness	n. 寂静，无声
stimulate	vt. 刺激， 激励， 激发
stimulus	n. 促进； 刺激
sting	v. 刺，蜇，叮 n. 刺伤处，蜇伤处
stir	v. 搅动；拨动；激动；唤起 n. 搅拌， 搅动； 激动， 骚乱
stitch	v. 缝， 绣 n. 一针，线迹；缝法，针法，编结法；突然剧痛
stock	adj. 常用的， 常备的 n. 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 vt. 储备
stockbroker	n. 股票经理人
stocking	n. 长（筒）袜
stone	n. 果核，（水果的）硬核
stoop	v. 俯身，弯腰；堕落，自贬 n. 弯腰， 曲背
storage	n. 贮藏； 贮藏量
store	n. 商店；贮藏；贮存品
storey	n. （层）楼
storm	n. 爆发 v. 猛攻
stout	adj. 肥胖的；厚实牢固的
stove	n. 炉， 火炉， 电炉
straighten	v. 把…弄直；挺起来
straightforward	adj. 正直的， 坦率的； 易懂的， 简单的
strain	v. 扭伤， 拉伤； 尽力使用， 紧张； 拉紧； 尽力 n. 拉紧；过劳，极度紧张；张力；扭伤，拉伤；旋律；品种，家系；气质，个性特点
strait	n. 海峡
strand	n. 股，缕；一个组成部分 vt. 使搁浅
strange	adj. 陌生的，不熟悉的
stranger	n. 陌生人；新来者
strap	n. 带子 vt. 捆扎； 用绷带包扎
strategic	adj. 对全局有重要意义的， 关键的； 战略的
strategy	n. 战略， 策略
straw	n. 稻草； 麦秆吸管， 吸管
stray	vi. 走失，迷路；分心，走神；离题 adj. 迷路的，走失的；孤立的，零星的 n. 走失的家畜
streak	vi. 飞跑，疾驶 n. 条纹，条痕；个性特征；一阵子，一连串 vt. 在…上加条纹
stream	v. 流出， 涌出 n. 河，溪流；一股，一串
streamline	vt. 使成流线型； 精简， 使效率更高
strength	n. 兵力；强度
strengthen	vt. 加强， 巩固
stress	n. 压力；强调；重要性；应力；重音 vt. 强调， 着重； 重读
stressful	adj. 充满著压力的，充满著紧张的
stretch	v. 伸展，延续；伸长，拉长；倾注全力；紧张 n. 一段时间， 一段路程， 连绵的一片； 伸展， 延伸
strict	adj. 严格的
stride	vi. 大踏步走 n. 大步； 步法， 步态； 进展， 进步
strife	n. 冲突，竞争
strike	n. 罢工
striking	adj. 显著的， 突出的； 惹人注目的， 容貌出众的
string	vi. 连成一串； 排成一行前进 n. 线，细绳；一串，一行 vt. 缚，扎，挂；串起，穿；使排成一列；伸展，拉直
strip	v. 脱光衣服；剥夺，夺去 n. 条带
stripe	n. 条纹，条子
strive	vi. 努力， 奋斗， 力求
stroke	n. 中风；一举，一次努力；划桨，划水；击，敲；报时的钟声；笔画，一笔；抚摸 vt. 抚摸
stroll	n&vi. 散步， 闲逛
structural	adj. 结构的，构造的
structure	n. 结构，构造 vt. 建造
struggle	v. 搏斗
stubborn	adj. 顽固的， 执拗的， 倔强的； 难对付的， 难于克服的
studio	n. 画室， 摄影室； 播音室， 录音室， 摄影棚
stuff	n. 材料，东西 vt. 装， 填， 塞； 让…吃饱
stuffy	adj. 不透气的，闷热的
stumble	vi. 绊脚， 绊倒； 跌跌撞撞地走； 结结巴巴
stump	vi. 脚步沉重地走 n. 树桩；残根，残余部分 vt. 把…难住，使为难；在…做巡回演说
stun	vt. 使震惊， 使目瞪口呆； 把…打昏， 使昏迷
sturdy	adj. 强壮的， 结实的， 坚固的； 坚定的， 坚强的
subconscious	adj. 下意识的，潜意识的
subculture	n. 亚文化
subdivide	v. 把…再分
subdivision	n. 分支; 分部
subdue	v. 使屈服，征服
subject	n. 题目； 学科； 主语 vt. 使隶属
subjective	adj. 主观的， 个人的
submarine	adj. 水底的， 海底的 n. 潜水艇
submerge	v. 淹没， 潜入水中
submit	vi. 屈从， 听从； 忍受； 甘心 vt. 屈从，听从，服从；呈送，提交；主张，建议
subordinate	adj. 下级的，级别低的；次要的，从属的 n. 部属， 下级 vt. 使处于次要地位， 使从属于
subscribe	vi. 订阅，订购；同意，赞成 vt. 捐助， 赞助
subscript	adj. 写在下方的 n. 下标
subscription	n. 订阅（费）；用户费（的缴纳）
subsequent	adj. 随后的， 后来的
subsequently	adv. 其后，其次，接着
subsidiary	adj. 辅助的，次要的，附设的 n. 子公司， 附属机构
subsidize	v. 提供补贴
subsidy	n. 津贴， 补助金
substance	n. 物质； 实质； 大意， 要旨； 根据， 理由
substantial	adj. 可观的， 大量的； 物质的， 坚固的； 实质的， 真实的
substitute	n. 代替人，代用品 vt. 用…代替
subtle	adj. 微妙的， 难以捉摸的； 诡秘的， 狡诈的； 隐约的
subtract	vt. 减， 减去； 去掉
suburb	n. 郊区， 郊外， 近郊
suburban	adj. 郊区的
subway	n. 地道；地下铁路
succeeding	adj. 以后的， 随后的
succession	n. 连续； 一连串； 接替， 继任， 继承
successive	adj. 连续的， 接连的
successively	adv. 接连着地，继续地
successor	n. 接替的人或事物， 继任者
suck	v. 吸， 吮， 啜； 吸收
sue	v. 控告， 起诉； 要求， 请求
suffer	v. 遭受， 忍受， 容许； 受痛苦， 受损
suffice	vi. 足够
sufficient	adj. 足够的， 充分的
suggestion	n. 建议， 意见； 细微的迹象； 暗示
suicide	n. 自杀 v. 自杀
suit	n. 起诉，诉讼 v. 适合
suitcase	n. 手提箱，衣箱
suite	n. 套间； 一套家具； 套， 组， 系列
sulfur	n. 硫（磺），硫黄
sullen	adj. 绷着脸不高兴的
sulphur	n. 硫（磺），硫黄
sum	vi. 共计 n. 总数；金额；算术
summarize	vt. 概括， 概述， 总结
summary	adj. 概括的， 概要的； 实时的， 即决的 n. 摘要，概要，一览
summit	n. 最高点， 峰顶； 最高级会议
summon	vt. 召唤， 传唤； 鼓起， 振作； 召集， 召开
sunlight	n. 日光， 阳光
sunrise	n. 日出； 朝霞
sunset	n. 日落； 晚霞
sunshine	n. 日光， 阳光
superb	adj. 极好的； 高质量的
superficial	adj. 表面的， 肤浅的
superintendent	n. 主管人， 监管人， 负责人； 警长
superior	adj. 上级的，较高的；优越的；有优越感的，高傲的 n. 上级， 长官
superiority	n. 优越（性），优势
supersonic	adj. 超声的， 超音速的
superstition	n. 迷信，迷信行为
supervise	v. 监督， 管理， 指导
supervision	n. 监督
supervisor	n. 督导
supplement	n. 增补， 补充； 增刊， 副刊 vt. 增补， 补充
supplementary	adj. 增补的， 补充的
supply	n&vt. 供给， 供应
support	vt. 支撑；支持；供养；证实 n. 支持， 支撑物， 支持者
suppose	vt. 猜想， 假定， 让； [常用于被动语态]期望， 认为应该
suppress	vt. 压制， 镇压； 禁止发表， 查禁； 抑制， 忍住； 阻止…的生长
supreme	adj. 最高的， 最大的； 极度的， 最重要的
surf	v. 冲浪
surge	vi. 蜂拥而出；洋溢，奔放；汹涌，奔腾 n. 洋溢， 奔放； 急剧上升， 猛增； 浪涛般汹涌奔腾
surgeon	n. 外科医生
surgery	n. 外科， 外科手术； 手术室
surgical	adj. 手术的
surpass	vt. 超过， 优于， 多于； 超过…的界限， 非…所能办到
surplus	adj. 过剩的， 多余的 n. 过剩，剩余，盈余
surrender	n&v. 交出， 放弃； 投降
surround	vt. 围， 围绕； 圈住
surrounding	adj. 附近的；四周的
surroundings	n. 周围的事物，环境
survey	vt. 俯瞰； 检查； 测量 n. 调查， 勘察； 测量， 勘测； 全面审视， 概括论述
survival	n. 幸存； 幸存者； 残存物
survive	vi. 活下来，继续存在；幸免于 vt. 从中挺过来； 从…逃出； 比…活得长
survivor	n. 生还者； 残存物
susceptible	adj. 易受影响的； 过敏的； 能经受的， 容许的
suspect	adj. 可疑的， 不信任的 vt. 疑有；推测；对…表示怀疑 n. 嫌疑犯，可疑分子
suspend	vt. 暂停， 终止； 吊， 悬
suspension	n. 暂停， 中止； 暂令停止参加， 暂时剥夺； 悬架， 悬置机构； 悬浮液； 悬， 挂， 吊
suspicion	n. 怀疑， 疑心， 猜疑； 一点儿， 少量
suspicious	adj. 猜疑的， 疑心的； 可疑的； 表示怀疑的
sustain	vt. 保持， 使持续下去； 供养， 维持； 支持， 支撑； 经受， 遭受
sustainable	adj. 可持续的
swallow	n. 燕子；吞，咽 vt. 吞， 咽； 轻信， 轻易接受； 承受， 使不流露； 咽下口水
swamp	n. 沼泽 vt. 淹没， 浸没； 难倒， 压倒
swap	n&v. 交换
sway	v. 摇，摇动；动摇 n. 摇摆， 摇动； 起支配作用的影响
swear	v. 宣（誓）；诅咒
sweater	n. 厚运动衫，毛线衫
sweep	v. 扫；刮起；扫过
sweeten	v. 使变甜，变甜
sweetness	n. 甜蜜，芬芳；愉悦，美好
swell	vi. 膨胀，隆起；增长，增强，增多，扩大 n. 波浪起伏； 鼓起， 隆起； 增强
swift	adj. 快的； 反应快的； 敏捷的
swing	v. 摇摆，回转；突然转向 n. 摇摆； 秋千
switch	v. 转换， 改变 n. 开关，电闸；转换，改变
sword	n. 剑， 刀
symbol	n. 象征； 符号， 标志
symbolic	adj. 符号的； 象征性的
symbolize	v. 象征
symmetrical	adj. 对称的，匀称的
symmetry	n. 对称； 匀称， 整齐
sympathetic	adj. 同情的； 和谐的； 赞同的， 支持的； 合意的
sympathize	vi. 同情， 怜悯； 体谅； 赞同
sympathy	n. 同情； 一致； 支持， 赞同
symphony	n. 交响乐， 交响曲； 和谐， 协调
symposium	n. 讨论会， 专题报告会； 专题论文集
symptom	n. 症状； 征候， 征兆
syndrome	n. 综合病症， 综合症状； 一系列表现
synthesis	n. 综合，综合物；（化学或生物学物质的）合成；（用电子方式对声音、语音或音乐的）合成
synthetic	adj. 综合的， 合成的； 虚假的
system	n. 系统； 制度， 体制； 方法， 做法； 身体
systematic	adj. 有系统的， 有计划的
systematical	adj. 有系统的， 有计划的
systematically	adv. 系统地，有规则地
tabulate	v. 把…制成表
tack	n. 平头钉，大头钉；行动方向，方针 vt. 用平头钉钉； 附加， 增补
tackle	vt. 对付，处理；与…交涉；阻截，擒抱 n. 阻截， 擒抱； 用具， 钓具； 辘轳， 滑车
tact	n. 机敏，圆滑，得体
tactics	n. 战术，兵法
tag	vi. 尾随 n. 附加语；标签 vt. 给…加上标签
tailor	n. 裁缝 v. 专门制作；订做
takeoff	n. 起飞
tale	n. 故事；传说
talent	n. 天才， 才能； 人才
talk	v. 讲话；谈论
tame	adj. 驯服的，顺从的；沉闷的，乏味的 vt. 制服， 控制并利用； 驯化， 驯服
tan	vi. 晒成棕褐色 vt. 使晒成棕褐色；硝制 n. 棕褐色， 棕黄色； 晒成棕褐色， 晒黑
tangle	v. 缠结，乱作一团 n. 乱糟糟的一堆， 混乱； 复杂的问题； 困惑
tangled	adj. 纠缠的；复杂的
tank	n. 大容器，槽；坦克
tanker	n. 油船；空中加油飞机
tap	n. 轻叩 v. 轻叩
tape	v. 系，捆
taper	n. 细小的蜡烛；微光
tar	n. 柏油；焦油
target	n. 目标 vt. 把…作为目标； 瞄准
tariff	n. 关税， 税率； 价目表， 收费表
task	n. 任务，工作
taste	n. 味觉；品味
tasteless	adj. 没有味道的
tax	n. 税，税款；负担 vt. 对…征税； 使负担重， 使费尽力气
team	v. 协作，合作
tease	vt. 戏弄， 取笑； 挑逗， 撩拨
technical	adj. 技术的，工艺的
technician	n. 技术员， 技师
technique	n. 技巧，手艺；技术，技能
technology	n. 工艺学； 工艺， 技术
tedious	adj. 冗长乏味的， 沉闷的
teenager	n. 青少年
telecommunications	n. 通信， 电信
telegram	n. 电报
telescope	n. 望远镜
telex	n. 电传，用户电报
temper	n. 韧度；心情，情绪 vt. 调和， 使缓和； 【冶】使回火
temperament	n. 气质， 性格
temple	n. 圣堂， 神殿， 庙宇
tempo	n. 速度； 节奏， 行进速度
temporary	adj. 暂时的， 临时的
tempt	vt. 吸引， 引起…的兴趣； 引诱， 诱惑
temptation	n. 诱惑， 引诱
tempting	adj. 诱人的，吸引人的
tenant	n. 房客， 佃户
tend	vi. 照管， 照料， 护理 vt. 易于，往往会；趋向，倾向
tendency	n. 趋向， 趋势， 倾向
tender	adj. 嫩的；脆弱的；疼痛的，一触即痛的；温柔的 vt. 提出 n. 投标
tense	adj. 拉紧的；紧张的 v. 拉紧， 绷紧 n. 时态
tensile	adj. 张力的；能伸长的
tension	n. 紧张， 不安； 拉紧； 张力， 拉力
tent	n. 帐篷
tentative	adj. 试探的， 试验的
terminal	adj. 末端的 n. 〔飞机、公共汽车、轮船客运或货物运输的〕集散站，终点站
terminate	v. 停止， 终止
terminology	n. 术语学，术语
terrace	n. 排屋；地坪，草坪；
terrain	n. 地形， 地势
terrible	adj. 可怕的；极度的
terribly	adv. 可怕地，非常
terrific	adj. 极妙的； 极大的； 令人恐惧的
terrify	vt. 使害怕， 使惊吓
territory	n. 领土， 版图； 领域
terror	n. 恐怖， 惊骇； 引起恐怖的人或事
terrorist	n. 恐怖分子
testify	vi. 作证，证明；表明，说明 vt. 作证， 证明
testimony	n. 证词； 见证， 证明
textile	adj. 纺织的 n. 纺织品；纺织业
texture	n. 质地； 结构
Thanksgiving	n. 感恩节
theatre	n. 剧场，戏院
theft	n. 盗窃，偷窃（行为）
theme	n. 题目；主题；主旋律；（句子的）主位；词干
theorem	n. 定理；原理，原则
theoretical	adj. 理论（上）的
theory	n. 理论， 原理； 学说； 意见， 看法
therapy	n. 治疗， 理疗
thereafter	adv. 之后， 以后
thereby	adv. 因此， 从而， 由此
therefore	adv. 因此， 所以
therein	adv. 在那里
thereof	adv. 它的，其；由此
thermal	adj. 热的， 由热造成的； 保暖的
thermometer	n. 温度计， 寒暑表
thesis	n. 论文， 毕业论文； 论题， 论点
thick	adv. 厚厚地 adj. 厚的，密的，浓的；不清楚的，口音重的
thicken	v. 使变厚（或粗、密）
thickness	n. 厚（度）；密（度）
thigh	n. 股，大腿
thinking	adj. 深思的， 有理性的 n. 想法，意见，见解
thirsty	adj. 渴的； 渴望的
thorn	n. 刺， 荆棘； 带刺小灌木
thorough	adj. 彻底的， 详尽的
thoughtful	adj. 沉思的； 体贴的
thoughtless	adj. 欠考虑的；自私的
thrash	v. 痛打，鞭打，打
thread	n. 线；丝；螺纹；头绪
threat	n. 威胁， 恐吓； 凶兆， 征兆
threaten	v. 威胁， 恐吓； 预示快要来临， 是…的征兆； 构成威胁； 可能发生
thresh	v. 打谷，脱粒
threshold	n. 门槛， 门口； 入门， 开端， 起始点
thrifty	adj. 节俭的
thrill	v. 非常兴奋， 非常激动 n. 兴奋，激动；引起激动的事物
thrilling	adj. 令人兴奋的
thrive	vi. 兴旺， 繁荣， 旺盛
throat	n. 咽喉， 喉咙； 嗓音
throne	n. 御座， 宝座； 王位， 王权
through	prep. 因为，由于
throughout	prep. 遍及 adv. 到处
thrust	vt. 插；戳，刺 n. 戳， 刺； 要点， 要旨； 推力
thumb	v. 示意要求搭车 n. 拇指
thunder	vi. 打雷， 轰隆响； 大声喊， 吼 n. 雷，雷声；擂鼓般的响声，轰隆声
thus	adv. 如此，这样；因而
tick	vi. 发出滴答声 n. 记号，勾号；滴答声 vt. 给…标记号
ticket	n. （交通违章）罚款传票
tickle	vi. 发痒 vt. 使发痒；使高兴，逗乐 n. 痒
tide	n. 潮， 潮汐； 潮流， 趋势
tidy	adj. 整洁的，整齐的 v. 整洁， 整齐
tighten	v. （使）变紧
tightly	adv. 紧地，牢固地
tile	n. 瓦，瓷砖 vt. 铺瓦于， 贴瓷砖于
tilt	v. 倾斜，倾侧 n. 倾斜， 倾侧
timber	n. 木材， 原木； 大木料， 栋木
timely	adj. 及时的， 适时的
timid	adj. 羞怯的， 胆小的
tin	n. 锡；罐头
tiny	adj. 微小的
tip	v. 轻击；给小费
tire	v. 疲劳，累；厌倦
tiresome	adj. 使人厌倦的，讨厌的
tissue	n. 组织； 薄绢， 薄纸， 手巾纸
title	n. 标题， 题目； 称号， 头衔； 权利， 权益
toad	n. 蟾蜍，癞蛤蟆
toast	n. 烤面包；祝酒，祝酒词 vt. 烘， 烤； 向…祝酒， 为…干杯
toe	n. 脚趾；足尖
toilet	n. 厕所，盥洗室，浴室
token	adj. 象征性的， 装样子的 n. 筹码；信物，标志，纪念品；代金券，礼券
tolerance	n. 忍受， 容忍， 忍耐力； 公差
tolerant	adj. 容忍的；有耐力的
tolerate	vt. 忍受， 容忍； 容许， 承认
toll	v. 敲 n. 过路费，过桥费；伤亡人数，损失
tone	n. 腔调， 语气； 音调； 风格， 气度； 色调， 明暗
toothache	n. 牙痛，牙疼
topic	n. 题目， 论题， 话题
torch	n. 火炬， 火把； 手电筒
torment	n. 痛苦 v. 折磨
torpedo	n. 鱼雷，水雷
torque	n. 转（力）矩，扭（力）矩
torture	n. 拷问；折磨 vt. 拷打
toss	vi. 掷钱币来决定；翻来覆去 vt. 扔，抛，掷；猛抬；拌；掷；使摇动，使颠簸 n. 掷钱币来决定； 猛抬头
total	adj. 总的 v. 合计，总共
touch	v. 触摸；触动；感动 n. 触
